*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-03 15:13:34:249194,Child Name: ,Child Name
2017-11-03 15:13:34:264514,On or OFF: ,Face Tracking is OFF
2017-11-03 15:13:35:089533,On or OFF: ,Face Tracking is ON
2017-11-03 15:13:36:094142,Robot State: ,Introduce Nao Started
2017-11-03 15:13:37:938961,Robot State: ,Introduce Nao Ended
2017-11-03 15:13:38:422644,On or OFF: ,Face Tracking is OFF
2017-11-03 15:13:39:450936,Robot State: ,Looking at The Book
2017-11-03 15:13:39:998428,Robot State: ,TaskONE Selected
2017-11-03 15:13:41:012279,Robot State: ,Looking at The Book
2017-11-03 15:13:43:112735,Robot State: ,Reading Mode Started
2017-11-03 15:13:47:513645,"Position: x: 0.201029524207
y: 0.10148473829
z: 0.239934340119
x: 0.0149127282202
y: 0.366816580296
z: -0.0445320755243
w: 1.0"
2017-11-03 15:13:47:514645,Current Word: ,\rspd=70\  HEY!		
2017-11-03 15:13:48:173124,"Position: x: 0.20022892952
y: 0.112026281655
z: 0.240452647209
x: 0.0100720059127
y: 0.366169452667
z: 0.00982788112015
w: 1.0"
2017-11-03 15:13:48:173624,Current Word: ,\rspd=70\  would you
2017-11-03 15:13:49:573579,"Position: x: 0.204515755177
y: 0.113610073924
z: 0.251509696245
x: 0.00512679060921
y: 0.311572790146
z: 0.0179765876383
w: 1.0"
2017-11-03 15:13:49:574026,Current Word: ,\rspd=70\ like
2017-11-03 15:13:51:013926,"Position: x: 0.204658851027
y: 0.102734208107
z: 0.249556586146
x: -0.000829810451251
y: 0.319536745548
z: -0.0351282916963
w: 1.0"
2017-11-03 15:13:51:014344,Current Word: ,\rspd=70\ to know
2017-11-03 15:13:52:433596,"Position: x: 0.205297783017
y: 0.0923014581203
z: 0.250129818916
x: 0.00469320360571
y: 0.315215826035
z: -0.0868492797017
w: 1.0"
2017-11-03 15:13:52:434656,Current Word: ,\rspd=70\ a
2017-11-03 15:13:53:875871,"Position: x: 0.205616682768
y: 0.0812175795436
z: 0.251144111156
x: 0.00602874066681
y: 0.308756679296
z: -0.139935001731
w: 1.0"
2017-11-03 15:13:53:876378,Current Word: ,\rspd=70\ secret?		
2017-11-03 15:13:54:956132,Current Word: ,\rspd=70\ well
2017-11-03 15:13:54:955589,"Position: x: 0.196592018008
y: 0.113581493497
z: 0.233573138714
x: 0.00776595761999
y: 0.40124759078
z: 0.0192065294832
w: 1.0"
2017-11-03 15:13:56:392838,"Position: x: 0.199986889958
y: 0.114031679928
z: 0.240842953324
x: 0.00365670374595
y: 0.364522874355
z: 0.0213035773486
w: 1.0"
2017-11-03 15:13:56:393757,Current Word: ,\rspd=70\ everyone
2017-11-03 15:13:57:854443,"Position: x: 0.200091645122
y: 0.102549217641
z: 0.238740116358
x: 0.00466247461736
y: 0.373300641775
z: -0.0359337106347
w: 1.0"
2017-11-03 15:13:57:855687,Current Word: ,\rspd=70\ thinks
2017-11-03 15:13:59:293221,"Position: x: 0.200909852982
y: 0.0924132987857
z: 0.239597469568
x: 0.00793594866991
y: 0.36723703146
z: -0.0869985073805
w: 1.0"
2017-11-03 15:13:59:295013,Current Word: ,\rspd=70\ I am
2017-11-03 15:14:00:772641,"Position: x: 0.201512157917
y: 0.0815434679389
z: 0.240936905146
x: 0.0110939983279
y: 0.35878482461
z: -0.141062930226
w: 1.0"
2017-11-03 15:14:00:772878,Current Word: ,\rspd=70\ only			
2017-11-03 15:14:01:939508,"Position: x: 0.192435771227
y: 0.11635799706
z: 0.226058602333
x: 0.00527093047276
y: 0.440745711327
z: 0.0339273996651
w: 1.0"
2017-11-03 15:14:01:939902,Current Word: ,\rspd=70\  big
2017-11-03 15:14:03:072550,"Position: x: 0.194813728333
y: 0.117478124797
z: 0.230859547853
x: 0.00253864540718
y: 0.416018158197
z: 0.0398269034922
w: 1.0"
2017-11-03 15:14:03:073254,Current Word: ,\rspd=70\ and
2017-11-03 15:14:04:212668,"Position: x: 0.195230692625
y: 0.111399926245
z: 0.230164453387
x: 0.000593866105191
y: 0.418519884348
z: 0.00810449291021
w: 1.0"
2017-11-03 15:14:04:213078,Current Word: ,\rspd=70\ cute
2017-11-03 15:14:05:444189,"Position: x: 0.195179358125
y: 0.103079497814
z: 0.228494718671
x: 0.00600070925429
y: 0.42532607913
z: -0.0340888574719
w: 1.0"
2017-11-03 15:14:05:445232,Current Word: ,\rspd=70\ but
2017-11-03 15:14:06:672806,"Position: x: 0.195733755827
y: 0.0945052653551
z: 0.22877073288
x: 0.00620543118566
y: 0.422302007675
z: -0.0792225450277
w: 1.0"
2017-11-03 15:14:06:672956,Current Word: ,\rspd=70\ really
2017-11-03 15:14:07:872559,"Position: x: 0.196022778749
y: 0.0864734053612
z: 0.229174673557
x: 0.00696647679433
y: 0.418650239706
z: -0.119472123682
w: 1.0"
2017-11-03 15:14:07:872867,Current Word: ,\rspd=70\ I am
2017-11-03 15:14:09:073398,Current Word: ,\rspd=70\ the 		
2017-11-03 15:14:09:073509,"Position: x: 0.195443764329
y: 0.0785811245441
z: 0.22851639986
x: 0.0130764115602
y: 0.420451700687
z: -0.16004063189
w: 1.0"
2017-11-03 15:14:10:232293,"Position: x: 0.186653122306
y: 0.114137522876
z: 0.215482458472
x: 0.0081448731944
y: 0.496377706528
z: 0.024296015501
w: 1.0"
2017-11-03 15:14:10:232840,Current Word: ,\rspd=70\ bravest
2017-11-03 15:14:11:673567,Current Word: ,\rspd=70\  human
2017-11-03 15:14:11:673980,"Position: x: 0.189210832119
y: 0.114237740636
z: 0.219749867916
x: 0.00532615464181
y: 0.473303228617
z: 0.0232767537236
w: 1.0"
2017-11-03 15:14:13:113365,Current Word: ,\rspd=70\ there
2017-11-03 15:14:13:113469,"Position: x: 0.189982205629
y: 0.103172183037
z: 0.219093516469
x: 0.00817940663546
y: 0.474410861731
z: -0.0351002812386
w: 1.0"
2017-11-03 15:14:14:594227,"Position: x: 0.190070196986
y: 0.0919784232974
z: 0.218395069242
x: 0.0111153246835
y: 0.475540667772
z: -0.0954759046435
w: 1.0"
2017-11-03 15:14:14:594881,Current Word: ,\rspd=70\ ever
2017-11-03 15:14:16:091920,"Position: x: 0.189891591668
y: 0.0817912146449
z: 0.218239665031
x: 0.0171473901719
y: 0.473928898573
z: -0.14899969101
w: 1.0"
2017-11-03 15:14:16:093129,Current Word: ,\rspd=70\ was 
2017-11-03 15:14:17:511063,Robot State: ,Looking at The Book
2017-11-03 15:14:21:309838,Robot State: ,Looking at The Book
