*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:01:07:009887,Child Name:,Muhammad
2017-11-30 09:01:07:010074,Reading speed:,0.06with0.06delay
2017-11-30 09:01:07:009828,Instruction:,"NumberOfStart:
2
ChildName:
Muhammad
HandMoveSpeed:
0.06
ReadDelay:
0.08
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:01:07:021478,On or OFF:,Face Tracking is OFF
2017-11-30 09:01:07:765241,On or OFF:,Face Tracking is ON
2017-11-30 09:01:08:267701,Robot State:,Introduce Nao Started
2017-11-30 09:01:10:535950,Instruction:,\rspd=90\ 
2017-11-30 09:01:11:036512,Robot State:,Introduce Nao Ended
2017-11-30 09:01:11:292005,On or OFF:,Face Tracking is OFF
2017-11-30 09:01:12:298689,Robot State:,Looking at The Book
2017-11-30 09:01:12:859265,Robot State:,TaskONE Selected
2017-11-30 09:01:13:878272,Robot State:,Looking at The Book
2017-11-30 09:01:14:383706,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:396232,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:396500,Current State of Reading: ,False
2017-11-30 09:01:14:409775,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:410153,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:410747,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:410594,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:14:412457,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:412795,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:14:414648,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:415624,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:415778,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:14:416259,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:417691,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:418026,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:14:418194,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:419024,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:419278,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:14:419555,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:420386,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:420716,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:14:421403,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:421829,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:14:422042,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:14:422676,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:14:423203,Detected ARTags: ,"[41, 42]"
