*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:16:46:949057,Child Name:,Maya
2017-11-30 09:16:46:948927,Instruction:,"NumberOfStart:
2
ChildName:
Maya
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:16:46:949308,Reading speed:,0.06with0.06delay
2017-11-30 09:16:46:959671,On or OFF:,Face Tracking is OFF
2017-11-30 09:16:47:641251,On or OFF:,Face Tracking is ON
2017-11-30 09:16:48:144823,Robot State:,Introduce Nao Started
2017-11-30 09:16:50:268089,Instruction:,\rspd=90\ 
2017-11-30 09:16:50:769050,Robot State:,Introduce Nao Ended
2017-11-30 09:16:50:959875,On or OFF:,Face Tracking is OFF
2017-11-30 09:16:51:979332,Robot State:,Looking at The Book
2017-11-30 09:16:52:561816,Robot State:,TaskONE Selected
2017-11-30 09:16:53:578425,Robot State:,Looking at The Book
2017-11-30 09:16:54:084122,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:100776,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:101020,Current State of Reading: ,False
2017-11-30 09:16:54:106902,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:107960,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:54:108704,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:109190,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:54:109349,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:110235,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:110346,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:110775,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:111141,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:54:111362,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:112116,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:112337,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:54:112717,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:113712,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:54:113620,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:114571,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:115081,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:54:116153,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:116501,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:16:54:116714,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:117314,Detected ARTags: ,"[34, 35]"
2017-11-30 09:16:54:117472,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:16:54:117883,Detected ARTags: ,"[34, 35]"
