*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 17:40:18:601486,Child Name:,Isabela
2017-11-30 17:40:18:601680,Reading speed:,0.06with0.06delay
2017-11-30 17:40:18:601744,Instruction:,"NumberOfStart:
2
ChildName:
Isabela
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 17:40:18:608973,On or OFF:,Face Tracking is OFF
2017-11-30 17:40:19:211226,On or OFF:,Face Tracking is ON
2017-11-30 17:40:19:713847,Robot State:,Introduce Nao Started
2017-11-30 17:40:21:803882,Instruction:,\rspd=90\ 
2017-11-30 17:40:22:305068,Robot State:,Introduce Nao Ended
2017-11-30 17:40:22:918414,On or OFF:,Face Tracking is OFF
2017-11-30 17:40:23:930480,Robot State:,Looking at The Book
2017-11-30 17:40:24:563720,Robot State:,TaskONE Selected
2017-11-30 17:40:25:589042,Robot State:,Looking at The Book
2017-11-30 17:40:26:093445,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:100852,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:100931,Current State of Reading: ,False
2017-11-30 17:40:26:106298,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:106922,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:107361,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:107471,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:107821,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:108284,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:108402,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:109038,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:109194,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:109527,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:109383,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:110023,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:110265,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:110747,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:110956,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:110918,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:111262,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:111459,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:111609,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:112080,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:112321,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:112838,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:113123,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:113695,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:113321,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:113973,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:114051,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:114570,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:114829,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:114752,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:115432,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:115621,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:116133,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:116193,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:116519,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:116685,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:117185,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:117441,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:117892,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:117696,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:118335,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:118464,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:118849,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:119048,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:119118,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:151889,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:152278,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:152341,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:267771,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:268784,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:269199,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:356620,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:357463,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:357677,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:464903,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:465347,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:465606,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:552252,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:552837,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:552923,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:652074,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:651972,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:652205,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:751653,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:752110,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:752055,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:858947,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:859455,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:26:859568,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:26:960216,Detected ARTags: ,"85, 86"
2017-11-30 17:40:26:960431,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:066722,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:067853,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:067730,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:163161,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:164318,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:164405,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:254616,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:255137,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:255324,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:351183,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:351591,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:351695,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:451528,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:451777,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:451878,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:551617,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:551922,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:552042,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:665192,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:666824,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:666568,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:684500,Body Gesture:,Not Pointing
2017-11-30 17:40:27:764640,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:766281,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:766508,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:860569,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:861884,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:862340,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:27:964199,Detected ARTags: ,"85, 86"
2017-11-30 17:40:27:965400,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:27:965877,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:064211,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:064928,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:065035,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:173716,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:175032,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:175272,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:251603,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:252083,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:252220,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:351579,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:351794,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:351890,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:463424,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:465137,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:465468,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:570386,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:571632,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:571916,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:656866,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:657818,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:657963,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:758264,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:758396,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:758718,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:866874,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:868357,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:868790,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:28:951759,Detected ARTags: ,"85, 86"
2017-11-30 17:40:28:953207,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:28:953284,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:066201,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:066577,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:067066,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:159103,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:160282,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:160469,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:266357,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:267925,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:268693,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:356086,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:356378,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:356591,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:451852,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:452309,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:452445,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:571236,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:571848,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:571753,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:652242,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:652410,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:652557,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:751588,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:751802,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:751950,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:852095,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:852644,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:29:852728,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:955440,Detected ARTags: ,"85, 86"
2017-11-30 17:40:29:955854,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:29:956075,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:066927,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:068516,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:068833,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:155869,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:156607,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:156686,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:267962,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:268916,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:269271,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:359736,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:360348,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:360598,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:451872,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:452439,Detected ARTags: ,"[85, 86]"
2017-11-30 17:40:30:452557,Current State of Reading: ,Waiting for Red-card
2017-11-30 17:40:30:553992,Detected ARTags: ,"85, 86"
2017-11-30 17:40:30:554138,Detected ARTags: ,"[85, 86]"
