*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 20:12:14:143347,Child Name:,test
2017-11-30 20:12:14:143198,Reading speed:,0.05with0.05delay
2017-11-30 20:12:14:143537,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.05
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 20:12:14:147792,On or OFF:,Face Tracking is OFF
2017-11-30 20:12:14:711217,On or OFF:,Face Tracking is ON
2017-11-30 20:12:15:219621,Robot State:,Introduce Nao Started
2017-11-30 20:12:17:963211,Instruction:,\rspd=90\ 
2017-11-30 20:12:18:464157,Robot State:,Introduce Nao Ended
2017-11-30 20:12:18:685818,On or OFF:,Face Tracking is OFF
2017-11-30 20:12:19:697125,Robot State:,Looking at The Book
2017-11-30 20:12:20:233463,Robot State:,TaskONE Selected
2017-11-30 20:12:21:269286,Robot State:,Looking at The Book
2017-11-30 20:12:21:773039,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:784261,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:784367,Current State of Reading: ,False
2017-11-30 20:12:21:791304,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:792113,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:792309,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:792826,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:793352,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:793069,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:794003,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:794119,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:794413,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:794468,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:795112,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:795309,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:795755,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:796155,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:796228,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:796068,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:796760,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:796884,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:797427,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:797810,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:798260,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:798498,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:798807,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:799064,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:799152,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:799648,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:800288,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:800445,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:800919,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:800985,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:802024,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:801918,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:802152,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:802812,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:802996,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:803106,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:803275,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:803712,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:804021,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:803969,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:804667,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:804871,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:805669,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:804995,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:805846,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:818517,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:818765,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:818905,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:21:920109,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:21:920714,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:21:921006,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:026800,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:027975,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:028298,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:125454,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:126772,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:126933,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:219030,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:219919,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:220067,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:332084,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:333573,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:333817,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:416826,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:417065,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:418291,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:515995,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:516428,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:516561,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:634398,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:635526,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:635862,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:720368,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:721009,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:721270,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:816672,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:817212,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:817329,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:22:927249,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:22:927782,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:22:927977,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:023780,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:024722,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:025027,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:131959,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:132690,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:132883,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:232738,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:233435,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:233792,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:319832,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:320080,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:320186,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:423670,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:424299,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:424408,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:444844,Body Gesture:,Not Pointing
2017-11-30 20:12:23:453023,Robot State:,Reading Mode Started
2017-11-30 20:12:23:452937,Current State of Correction: ,False
2017-11-30 20:12:23:468248,Robot Hand Pose: ,"x: 0.0842122286558
y: 0.114846087992
z: 0.1430683285
x: -1.05575358868
y: 0.843247532845
z: -0.054194778204
w: 1.0"
2017-11-30 20:12:23:468784,Current Word:,\rspd=80\  As a boy
2017-11-30 20:12:23:471695,Robot State:,0.0
2017-11-30 20:12:23:499067,Current Word:,\rspd=80\ Neil Armstrong
2017-11-30 20:12:23:498938,Robot Hand Pose: ,"x: 0.0840513780713
y: 0.114908665419
z: 0.14299544692
x: -1.054885149
y: 0.84433978796
z: -0.053140193224
w: 1.0"
2017-11-30 20:12:23:501307,Robot State:,0.0
2017-11-30 20:12:23:516039,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:516490,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:516630,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:546965,Robot Hand Pose: ,"x: 0.0841392874718
y: 0.114822365344
z: 0.143120378256
x: -1.05547559261
y: 0.842738986015
z: -0.0539995282888
w: 1.0"
2017-11-30 20:12:23:547404,Current Word:,\rspd=80\ was mad
2017-11-30 20:12:23:550873,Robot State:,0.0
2017-11-30 20:12:23:588225,Robot Hand Pose: ,"x: 0.0838729217649
y: 0.114905714989
z: 0.143058717251
x: -1.05461168289
y: 0.843714773655
z: -0.052833724767
w: 1.0"
2017-11-30 20:12:23:588436,Current Word:,\rspd=80\ about
2017-11-30 20:12:23:591542,Robot State:,0.0
2017-11-30 20:12:23:618369,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:619100,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:619250,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:624234,Robot Hand Pose: ,"x: 0.0840168744326
y: 0.114941619337
z: 0.142985284328
x: -1.05358231068
y: 0.84416872263
z: -0.0533177033067
w: 1.0"
2017-11-30 20:12:23:624621,Current Word:,\rspd=80\ planes  		
2017-11-30 20:12:23:627419,Robot State:,0.0
2017-11-30 20:12:23:635663,Robot Hand Pose: ,"x: 0.0840168744326
y: 0.114941619337
z: 0.142985284328
x: -1.05358231068
y: 0.84416872263
z: -0.0533177033067
w: 1.0"
2017-11-30 20:12:23:636067,Current Word:,\rspd=80\  He watched planes
2017-11-30 20:12:23:638445,Robot State:,0.0
2017-11-30 20:12:23:658510,Robot Hand Pose: ,"x: 0.0840083733201
y: 0.114914149046
z: 0.143016219139
x: -1.05492460728
y: 0.844031870365
z: -0.0531776808202
w: 1.0"
2017-11-30 20:12:23:659004,Current Word:,\rspd=80\ at Cleveland
2017-11-30 20:12:23:662033,Robot State:,0.0
2017-11-30 20:12:23:684858,Current Word:,\rspd=80\  airport
2017-11-30 20:12:23:684955,Robot Hand Pose: ,"x: 0.0840063765645
y: 0.114911369979
z: 0.143040001392
x: -1.05480349064
y: 0.843816876411
z: -0.0530333891511
w: 1.0"
2017-11-30 20:12:23:686687,Robot State:,0.0
2017-11-30 20:12:23:706761,Robot Hand Pose: ,"x: 0.0839954167604
y: 0.114902921021
z: 0.143029049039
x: -1.05480217934
y: 0.843944072723
z: -0.0530880615115
w: 1.0"
2017-11-30 20:12:23:706895,Current Word:,\rspd=80\ when
2017-11-30 20:12:23:708734,Robot State:,0.0
2017-11-30 20:12:23:729550,Robot Hand Pose: ,"x: 0.0839338600636
y: 0.114897198975
z: 0.14302483201
x: -1.05480110645
y: 0.844045937061
z: -0.0530846938491
w: 1.0"
2017-11-30 20:12:23:730051,Current Word:,\rspd=80\ he was two		
2017-11-30 20:12:23:732452,Robot State:,0.0
2017-11-30 20:12:23:743070,Robot Hand Pose: ,"x: 0.0840211436152
y: 0.114901743829
z: 0.143016934395
x: -1.05480027199
y: 0.844127357006
z: -0.0530820526183
w: 1.0"
2017-11-30 20:12:23:743492,Current Word:,\rspd=80\  at six
2017-11-30 20:12:23:745104,Robot State:,0.0
2017-11-30 20:12:23:768601,Robot Hand Pose: ,"x: 0.0840165838599
y: 0.114901438355
z: 0.143040567636
x: -1.05470383167
y: 0.843893229961
z: -0.0529569275677
w: 1.0"
2017-11-30 20:12:23:768997,Current Word:,\rspd=80\ he went up
2017-11-30 20:12:23:772116,Robot State:,0.0
2017-11-30 20:12:23:803680,Current Word:,\rspd=80\ in a plane called
2017-11-30 20:12:23:803760,Robot Hand Pose: ,"x: 0.0838640853763
y: 0.114901997149
z: 0.143044635653
x: -1.05466079712
y: 0.843855381012
z: -0.0529256090522
w: 1.0"
2017-11-30 20:12:23:807450,Robot State:,0.0
2017-11-30 20:12:23:855852,Robot Hand Pose: ,"x: 0.083974853158
y: 0.114896193147
z: 0.143027573824
x: -1.05508470535
y: 0.843767344952
z: -0.0533046089113
w: 1.0"
2017-11-30 20:12:23:856978,Current Word:,\rspd=80\ the tin Goose 	
2017-11-30 20:12:23:859529,Robot State:,0.0
2017-11-30 20:12:23:865726,Robot Hand Pose: ,"x: 0.0839910507202
y: 0.11492459476
z: 0.143019109964
x: -1.05502712727
y: 0.843904495239
z: -0.0532576516271
w: 1.0"
2017-11-30 20:12:23:867028,Current Word:,\rspd=80\ He had
2017-11-30 20:12:23:870063,Robot State:,0.0
2017-11-30 20:12:23:898798,Robot Hand Pose: ,"x: 0.0839084908366
y: 0.114904537797
z: 0.143035441637
x: -1.05486762524
y: 0.843862593174
z: -0.0531392991543
w: 1.0"
2017-11-30 20:12:23:899074,Current Word:,\rspd=80\ flying lessons
2017-11-30 20:12:23:901076,Robot State:,0.0
2017-11-30 20:12:23:919810,Robot Hand Pose: ,"x: 0.0839871317148
y: 0.114907756448
z: 0.143055379391
x: -1.05475783348
y: 0.843681573868
z: -0.0530027039349
w: 1.0"
2017-11-30 20:12:23:920363,Current Word:,\rspd=80\ when
2017-11-30 20:12:23:922238,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 20:12:23:922679,Robot State:,0.0
2017-11-30 20:12:23:923525,Detected ARTags: ,"[61, 62]"
2017-11-30 20:12:23:923821,Current State of Reading: ,Waiting for Red-card
2017-11-30 20:12:23:942846,Robot Hand Pose: ,"x: 0.0839141309261
y: 0.114903509617
z: 0.142996236682
x: -1.05531299114
y: 0.844071149826
z: -0.0535278134048
w: 1.0"
2017-11-30 20:12:23:944057,Current Word:,\rspd=80\ he was still
2017-11-30 20:12:23:946351,Robot State:,0.0
