*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-01 09:20:43:223009,Child Name:,Daria
2017-12-01 09:20:43:223137,Instruction:,"NumberOfStart:
1
ChildName:
Daria
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-01 09:20:43:223280,Reading speed:,0.06with0.06delay
2017-12-01 09:20:43:393082,On or OFF:,Face Tracking is OFF
2017-12-01 09:20:44:214787,On or OFF:,Face Tracking is ON
2017-12-01 09:20:44:716819,Robot State:,Introduce Nao Started
2017-12-01 09:21:01:772441,Instruction:,"\rspd=90\ Hello Daria\pau=700\ My name is Nao \pau=500\ I really like reading short stories\rspd=90\ Do you want to listen to them?\rspd=90\ sometimes I make mistakes, can you help me to correct them?\rspd=90\ If you want to read with me, please bring the book"
2017-12-01 09:21:02:273415,Robot State:,Introduce Nao Ended
2017-12-01 09:21:02:858177,On or OFF:,Face Tracking is OFF
2017-12-01 09:21:03:870415,Robot State:,Looking at The Book
2017-12-01 09:21:14:766471,Robot State:,TaskONE Selected
2017-12-01 09:21:15:787812,Robot State:,Looking at The Book
2017-12-01 09:21:16:297221,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:316287,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:316522,Current State of Reading: ,False
2017-12-01 09:21:16:325215,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:325886,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:327063,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:327402,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:328379,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:328086,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:329504,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:329958,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:330645,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:331292,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:332281,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:333381,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:333559,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:340227,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:341460,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:341723,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:345377,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:347604,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:349783,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:350034,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:351201,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:353729,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:353655,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:355007,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:355277,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:355803,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:356039,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:356257,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:356777,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:356945,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:357156,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:357287,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:359434,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:359890,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:360101,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:16:564504,Detected ARTags: ,"90, 91"
2017-12-01 09:21:16:565409,Detected ARTags: ,"[90, 91]"
2017-12-01 09:21:16:565629,Current State of Reading: ,Waiting for Red-card
