*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 17:51:44:165676,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point
WhichPage:
Right
CorrectionState:
True




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-12-04 17:51:44:165823,Child Name:,test
2017-12-04 17:51:44:166058,Reading speed:,0.06with0.06delay
2017-12-04 17:51:44:170931,On or OFF:,Face Tracking is OFF
2017-12-04 17:51:44:882709,On or OFF:,Face Tracking is ON
2017-12-04 17:51:45:384770,Robot State:,Introduce Nao Started
2017-12-04 17:51:46:854783,Robot State:,Looking at The Book
2017-12-04 17:51:48:438365,Instruction:,\rspd=90\ 
2017-12-04 17:51:48:939179,Robot State:,Introduce Nao Ended
2017-12-04 17:51:49:367862,On or OFF:,Face Tracking is OFF
2017-12-04 17:51:50:395340,Robot State:,Looking at The Book
2017-12-04 17:51:50:945950,Robot State:,TaskONE Selected
2017-12-04 17:51:51:976046,Robot State:,Looking at The Book
2017-12-04 17:51:52:482734,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:51:52:490782,Detected ARTags: ,"[ 47, 48]"
2017-12-04 17:51:52:490850,Current State of Reading: ,False
2017-12-04 17:51:52:496822,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:51:52:497407,Current State of Reading: ,False
2017-12-04 17:51:52:497596,Detected ARTags: ,"[45, 46]"
2017-12-04 17:51:52:499164,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:51:52:499773,Detected ARTags: ,"[45, 46]"
2017-12-04 17:51:52:499861,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:51:52:500378,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:51:52:500956,Detected ARTags: ,"[45, 46]"
2017-12-04 17:51:52:501197,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:51:52:501526,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:51:52:502009,Detected ARTags: ,"[45, 46]"
2017-12-04 17:51:52:502410,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:51:52:502792,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:51:52:506013,Detected ARTags: ,"[45, 46]"
2017-12-04 17:51:52:506253,Current State of Reading: ,Waiting for Red-card
2017-12-04 17:51:52:506325,Detected ARTags: ,"45, 46, 47, 48"
2017-12-04 17:51:52:508837,Detected ARTags: ,"[45, 46]"
2017-12-04 17:51:52:509285,Current State of Reading: ,Waiting for Red-card
